csv_path,reynolds,angle,mean_last10pct_C_L
naca0012/re100000/re100000_alpha+002.75.csv,100000,+002.75,4.37061382e-01
naca0012/re100000/re100000_alpha-002.75.csv,100000,-002.75,-4.37851981e-01
naca0012/re100000/re100000_alpha+003.00.csv,100000,+003.00,4.39527236e-01
naca0012/re100000/re100000_alpha-003.00.csv,100000,-003.00,-4.51611321e-01
naca0012/re100000/re100000_alpha+003.25.csv,100000,+003.25,4.65538247e-01
naca0012/re100000/re100000_alpha-003.25.csv,100000,-003.25,-4.62202595e-01
naca0012/re100000/re100000_alpha+003.50.csv,100000,+003.50,4.82030240e-01
naca0012/re100000/re100000_alpha-003.50.csv,100000,-003.50,-4.76486498e-01
naca0012/re100000/re100000_alpha+003.75.csv,100000,+003.75,5.20385920e-01
naca0012/re100000/re100000_alpha-003.75.csv,100000,-003.75,-5.01738568e-01
naca0012/re100000/re100000_alpha+004.00.csv,100000,+004.00,5.18942176e-01
naca0012/re100000/re100000_alpha-004.00.csv,100000,-004.00,-5.31143724e-01
naca0012/re100000/re100000_alpha+004.25.csv,100000,+004.25,5.53945562e-01
naca0012/re100000/re100000_alpha-004.25.csv,100000,-004.25,-5.57580685e-01
naca0012/re100000/re100000_alpha+004.50.csv,100000,+004.50,5.58873722e-01
naca0012/re100000/re100000_alpha-004.50.csv,100000,-004.50,-5.60693463e-01
naca0012/re100000/re100000_alpha+004.75.csv,100000,+004.75,5.85471641e-01
naca0012/re100000/re100000_alpha-004.75.csv,100000,-004.75,-5.94320399e-01
naca0012/re100000/re100000_alpha+005.00.csv,100000,+005.00,5.89960408e-01
naca0012/re100000/re100000_alpha-005.00.csv,100000,-005.00,-5.98865020e-01
naca0012/re100000/re100000_alpha+005.25.csv,100000,+005.25,6.31887323e-01
naca0012/re100000/re100000_alpha-005.25.csv,100000,-005.25,-6.26814005e-01
naca0012/re100000/re100000_alpha+005.50.csv,100000,+005.50,6.27882931e-01
naca0012/re100000/re100000_alpha-005.50.csv,100000,-005.50,-6.48424889e-01
naca0012/re100000/re100000_alpha+005.75.csv,100000,+005.75,6.72678401e-01
naca0012/re100000/re100000_alpha-005.75.csv,100000,-005.75,-6.46564570e-01
naca0012/re100000/re100000_alpha+006.00.csv,100000,+006.00,6.69824054e-01
naca0012/re100000/re100000_alpha-006.00.csv,100000,-006.00,-6.83965336e-01
naca0012/re100000/re100000_alpha+006.25.csv,100000,+006.25,7.07129776e-01
naca0012/re100000/re100000_alpha-006.25.csv,100000,-006.25,-6.80862132e-01
naca0012/re100000/re100000_alpha+006.50.csv,100000,+006.50,7.18560225e-01
naca0012/re100000/re100000_alpha-006.50.csv,100000,-006.50,-7.05929906e-01
naca0012/re100000/re100000_alpha+006.75.csv,100000,+006.75,7.21402563e-01
naca0012/re100000/re100000_alpha-006.75.csv,100000,-006.75,-7.24063344e-01
naca0012/re100000/re100000_alpha+007.00.csv,100000,+007.00,7.35048712e-01
naca0012/re100000/re100000_alpha-007.00.csv,100000,-007.00,-7.58649278e-01
naca0012/re100000/re100000_alpha+007.25.csv,100000,+007.25,7.83412510e-01
naca0012/re100000/re100000_alpha-007.25.csv,100000,-007.25,-7.58836406e-01
naca0012/re100000/re100000_alpha+007.50.csv,100000,+007.50,8.00002021e-01
naca0012/re100000/re100000_alpha-007.50.csv,100000,-007.50,-7.91999718e-01
naca0012/re100000/re100000_alpha+007.75.csv,100000,+007.75,8.00666364e-01
naca0012/re100000/re100000_alpha-007.75.csv,100000,-007.75,-7.95041866e-01
naca0012/re100000/re100000_alpha+008.00.csv,100000,+008.00,8.26189049e-01
naca0012/re100000/re100000_alpha-008.00.csv,100000,-008.00,-8.28846080e-01
naca0012/re100000/re100000_alpha+008.25.csv,100000,+008.25,8.33154229e-01
naca0012/re100000/re100000_alpha-008.25.csv,100000,-008.25,-8.37683699e-01
naca0012/re100000/re100000_alpha+008.50.csv,100000,+008.50,8.92974385e-01
naca0012/re100000/re100000_alpha-008.50.csv,100000,-008.50,-8.89112952e-01
naca0012/re100000/re100000_alpha+008.75.csv,100000,+008.75,8.90147667e-01
naca0012/re100000/re100000_alpha-008.75.csv,100000,-008.75,-9.04316141e-01
naca0012/re100000/re100000_alpha+009.00.csv,100000,+009.00,8.98699981e-01
naca0012/re100000/re100000_alpha-009.00.csv,100000,-009.00,-8.94370419e-01
naca0012/re100000/re100000_alpha+009.25.csv,100000,+009.25,9.21788215e-01
naca0012/re100000/re100000_alpha-009.25.csv,100000,-009.25,-9.26781731e-01
naca0012/re100000/re100000_alpha+009.50.csv,100000,+009.50,9.28783510e-01
naca0012/re100000/re100000_alpha-009.50.csv,100000,-009.50,-9.50196093e-01
naca0012/re100000/re100000_alpha+009.75.csv,100000,+009.75,9.46404373e-01
naca0012/re100000/re100000_alpha-009.75.csv,100000,-009.75,-9.32185161e-01
naca0012/re100000/re100000_alpha+010.00.csv,100000,+010.00,9.73118289e-01
naca0012/re100000/re100000_alpha-010.00.csv,100000,-010.00,-9.63717322e-01
naca0012/re100000/re100000_alpha+010.25.csv,100000,+010.25,9.56898674e-01
naca0012/re100000/re100000_alpha-010.25.csv,100000,-010.25,-9.46384006e-01
naca0012/re100000/re100000_alpha+010.50.csv,100000,+010.50,9.96187041e-01
naca0012/re100000/re100000_alpha-010.50.csv,100000,-010.50,-9.53380855e-01
naca0012/re100000/re100000_alpha+010.75.csv,100000,+010.75,9.88580106e-01
naca0012/re100000/re100000_alpha-010.75.csv,100000,-010.75,-9.68314250e-01
naca0012/re100000/re100000_alpha+011.00.csv,100000,+011.00,9.78637810e-01
naca0012/re100000/re100000_alpha-011.00.csv,100000,-011.00,-9.58313148e-01
naca0012/re100000/re100000_alpha+011.25.csv,100000,+011.25,9.60477296e-01
naca0012/re100000/re100000_alpha-011.25.csv,100000,-011.25,-9.53293832e-01
naca0012/re100000/re100000_alpha+011.50.csv,100000,+011.50,8.30905772e-01
naca0012/re100000/re100000_alpha-011.50.csv,100000,-011.50,-8.15472486e-01
naca0012/re100000/re100000_alpha+011.75.csv,100000,+011.75,7.83432890e-01
naca0012/re100000/re100000_alpha-011.75.csv,100000,-011.75,-7.82210654e-01
naca0012/re100000/re100000_alpha-012.00.csv,100000,-012.00,-7.67527615e-01
naca0012/re100000/re100000_alpha-012.25.csv,100000,-012.25,-7.78598080e-01
naca0012/re100000/re100000_alpha-012.50.csv,100000,-012.50,-5.00342098e-01
naca0012/re100000/re100000_alpha-012.75.csv,100000,-012.75,-4.94197421e-01
naca0012/re200000/re200000_alpha+000.00.csv,200000,+000.00,0.00000000e+00
naca0012/re200000/re200000_alpha+000.25.csv,200000,+000.25,3.39598031e-02
naca0012/re200000/re200000_alpha-000.25.csv,200000,-000.25,-3.45713865e-02
naca0012/re200000/re200000_alpha+000.50.csv,200000,+000.50,6.98561220e-02
naca0012/re200000/re200000_alpha-000.50.csv,200000,-000.50,-6.73218823e-02
naca0012/re200000/re200000_alpha+000.75.csv,200000,+000.75,1.05152739e-01
naca0012/re200000/re200000_alpha-000.75.csv,200000,-000.75,-1.02910947e-01
naca0012/re200000/re200000_alpha+001.00.csv,200000,+001.00,1.44447857e-01
naca0012/re200000/re200000_alpha-001.00.csv,200000,-001.00,-1.46835548e-01
naca0012/re200000/re200000_alpha+001.25.csv,200000,+001.25,1.86962431e-01
naca0012/re200000/re200000_alpha-001.25.csv,200000,-001.25,-1.80514029e-01
naca0012/re200000/re200000_alpha+001.50.csv,200000,+001.50,2.22906011e-01
naca0012/re200000/re200000_alpha-001.50.csv,200000,-001.50,-2.17775670e-01
naca0012/re200000/re200000_alpha+001.75.csv,200000,+001.75,2.67164531e-01
naca0012/re200000/re200000_alpha-001.75.csv,200000,-001.75,-2.67072258e-01
naca0012/re200000/re200000_alpha+002.00.csv,200000,+002.00,3.10449141e-01
naca0012/re200000/re200000_alpha-002.00.csv,200000,-002.00,-3.07926028e-01
naca0012/re200000/re200000_alpha+002.25.csv,200000,+002.25,3.49399831e-01
naca0012/re200000/re200000_alpha-002.25.csv,200000,-002.25,-3.39054071e-01
naca0012/re200000/re200000_alpha+002.50.csv,200000,+002.50,3.84520641e-01
naca0012/re200000/re200000_alpha-002.50.csv,200000,-002.50,-3.95320777e-01
naca0012/re200000/re200000_alpha+002.75.csv,200000,+002.75,4.25873809e-01
naca0012/re200000/re200000_alpha-002.75.csv,200000,-002.75,-4.16679007e-01
naca0012/re200000/re200000_alpha+003.00.csv,200000,+003.00,4.44802479e-01
naca0012/re200000/re200000_alpha-003.00.csv,200000,-003.00,-4.49034113e-01
naca0012/re200000/re200000_alpha+003.25.csv,200000,+003.25,4.62966001e-01
naca0012/re200000/re200000_alpha-003.25.csv,200000,-003.25,-4.59053305e-01
naca0012/re200000/re200000_alpha+003.50.csv,200000,+003.50,4.74281357e-01
naca0012/re200000/re200000_alpha-003.50.csv,200000,-003.50,-4.74310882e-01
naca0012/re200000/re200000_alpha+003.75.csv,200000,+003.75,4.95560597e-01
naca0012/re200000/re200000_alpha-003.75.csv,200000,-003.75,-5.16988213e-01
naca0012/re200000/re200000_alpha+004.00.csv,200000,+004.00,5.17137291e-01
naca0012/re200000/re200000_alpha-004.00.csv,200000,-004.00,-5.18060308e-01
naca0012/re200000/re200000_alpha+004.25.csv,200000,+004.25,5.44377278e-01
